date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:40	56/56	---MCZ	200	added ('OK')	text/plain	etag:%221d971db5c08d717%22	https://tamimicontracting.com/robots.txt		(from )
18:38:45	243384/243384	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2013:08:40%20GMT	https://tamimicontracting.com/en/	C:/Users/ProBook%20{HP}/Desktop/Tamimi/tamimicontracting.com/en/index.html	(from )
18:38:46	5549/5549	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Jul%202025%2013:08:45%20GMT	https://use.typekit.net/eca4sim.css	C:/Users/ProBook%20{HP}/Desktop/Tamimi/use.typekit.net/eca4sim.css	(from https://tamimicontracting.com/en/)
18:38:47	7034/7034	---M--	200	added ('OK')	image/png	etag:%221db1d4fbb53887a%22	https://tamimicontracting.com/en/assets/ico/apple-touch-icon-144-precomposed.png	C:/Users/ProBook%20{HP}/Desktop/Tamimi/tamimicontracting.com/en/assets/ico/apple-touch-icon-144-precomposed.png	(from https://tamimicontracting.com/en/)
18:38:48	5893/5893	---M--	200	added ('OK')	image/png	etag:%221db1d4fbb538405%22	https://tamimicontracting.com/en/assets/ico/apple-touch-icon-114-precomposed.png	C:/Users/ProBook%20{HP}/Desktop/Tamimi/tamimicontracting.com/en/assets/ico/apple-touch-icon-114-precomposed.png	(from https://tamimicontracting.com/en/)
18:38:49	2322/2322	---M--	200	added ('OK')	image/png	etag:%221db1d4fbabaf592%22	https://tamimicontracting.com/en/assets/ico/apple-touch-icon-72-precomposed.png	C:/Users/ProBook%20{HP}/Desktop/Tamimi/tamimicontracting.com/en/assets/ico/apple-touch-icon-72-precomposed.png	(from https://tamimicontracting.com/en/)
18:38:50	3617/3617	---M--	200	added ('OK')	image/png	etag:%221db1d4fbabaf2a1%22	https://tamimicontracting.com/en/assets/ico/apple-touch-icon-57-precomposed.png	C:/Users/ProBook%20{HP}/Desktop/Tamimi/tamimicontracting.com/en/assets/ico/apple-touch-icon-57-precomposed.png	(from https://tamimicontracting.com/en/)
18:38:51	2522/2522	---M--	200	added ('OK')	image/png	etag:%221db1d4fbbec205a%22	https://tamimicontracting.com/en/assets/ico/favicon.png	C:/Users/ProBook%20{HP}/Desktop/Tamimi/tamimicontracting.com/en/assets/ico/favicon.png	(from https://tamimicontracting.com/en/)
18:38:53	71744/71744	---MCZ	200	added ('OK')	text/css	etag:%221db0fff7b776f40%22	https://tamimicontracting.com/en/assets/css/animate.min.css	C:/Users/ProBook%20{HP}/Desktop/Tamimi/tamimicontracting.com/en/assets/css/animate.min.css	(from https://tamimicontracting.com/en/)
18:38:54	3301/3301	---MCZ	200	added ('OK')	text/css	etag:%221db0fff7b767be5%22	https://tamimicontracting.com/en/assets/css/owl.carousel.min.css	C:/Users/ProBook%20{HP}/Desktop/Tamimi/tamimicontracting.com/en/assets/css/owl.carousel.min.css	(from https://tamimicontracting.com/en/)
